"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin","4","551","4","86773632","13","1","146","61","20","48","21","0","12","6"
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin","5","577","14","133753727","22","1","74","53","24","67","11","0","10","28"
"Acr��s","Shakira","1","955","29","123124076","37","11","144","75","35","48","84","0","10","12"
"AMG","Natanael Cano, Gabito Ballesteros, Peso Pluma","3","995","19","463564958","12","5","136","77","79","73","15","0","27","10"
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya","3","178","6","64533040","6","0","100","56","53","55","53","0","12","4"
"S-Class","Stray Kids","1","290","19","65496046","9","0","105","89","67","78","9","0","7","33"
"Hits Different","Taylor Swift","1","547","0","68616963","15","0","106","67","24","78","15","0","30","4"
"Chanel","Becky G, Peso Pluma","2","681","10","161460990","15","2","132","85","53","68","40","0","9","4"
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray","2","332","5","70106975","18","0","120","78","5","30","21","0","13","5"
"Area Codes","Kaliii, Kaliii","2","1197","13","113509496","44","1","155","82","51","39","2","0","9","49"
"Abcdario","Junior H, Eden Mu��","2","262","5","89933133","8","1","129","70","42","43","78","0","11","3"
"Obsessed","Abhijay Sharma, Riar Saab","2","161","6","71007139","10","0","135","80","85","74","62","0","8","9"
"Pi��man De�","Semicenk, Do��u ","2","185","3","43522589","5","1","98","73","45","62","28","0","13","13"
"FLOWER","JISOO","1","839","18","232896922","20","0","124","84","64","39","3","0","11","4"
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin","3","259","0","37126685","5","0","135","77","28","55","18","0","22","15"
"Eyes Closed","Ed Sheeran","1","2915","30","195576623","116","3","107","78","39","53","30","0","11","6"
"Escapism.","RAYE, 070 Shake","2","5129","25","532336353","116","18","96","54","25","74","14","0","9","11"
"La Jumpa","Arcangel, Bad Bunny","2","3794","34","538115192","47","10","123","71","58","70","30","0","32","19"
"Karma (feat. Ice Spice)","Taylor Swift, Ice Spice","2","588","0","46142772","23","0","90","62","7","62","6","0","58","6"
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Future, Chris Brown, Metro Boomin","3","2959","16","401036314","41","0","117","72","45","59","14","0","20","21"
"Las Morras","BLESSD, Peso Pluma","2","291","8","127026613","8","1","133","78","90","84","31","0","7","4"
"CHORRITO PA LAS ANIMAS","Feid","1","2321","36","345031710","29","5","96","74","61","83","11","0","35","6"
"Ch y la Pizza","Fuerza Regida, Natanael Cano","2","536","10","288101651","10","3","149","66","85","60","40","0","14","13"
"Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift","2","359","2","60350538","1","0","110","66","32","40","81","0","11","3"
"Players","Coi Leray","1","4096","6","335074782","118","0","105","95","62","52","3","0","5","16"
"Bite Me","ENHYPEN","1","349","69","76767396","8","0","105","80","69","78","28","0","11","14"
"Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen","2","381","5","46065667","23","0","134","76","61","58","6","0","16","3"
"Normal","Feid","1","2461","36","459276435","47","5","170","71","59","56","4","0","27","12"
"Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin","2","277","1","39666245","1","0","81","59","26","60","46","1","25","13"
"Seu Brilho Sumiu - Ao Vivo","Israel & Rodolffo, Mari Fernandez","2","967","5","138517666","7","1","154","63","75","92","31","0","91","5"
"Bad Habit","Steve Lacy","1","8186","12","822633917","155","16","169","69","69","51","63","0","38","4"
"CUFF IT","Beyonc�","1","7842","10","595900742","215","26","115","78","64","69","4","0","7","14"
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga","2","215","6","51985779","6","2","84","43","14","74","1","0","19","8"
"69","Nicky Jam, Feid","2","1134","22","57945987","39","2","93","79","58","62","11","0","11","23"
"Ni��a Bo","Sean Paul, Feid","2","1305","34","115010040","29","5","91","82","47","62","10","0","10","15"
"Search & Rescue","Drake","1","2066","6","175097833","58","0","142","82","54","44","6","0","33","7"
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Kendrick Lamar, Beyonc�","2","896","0","57089066","34","0","126","78","20","70","1","0","16","4"
"Lavender Haze","Taylor Swift","1","3763","8","488386797","51","10","97","73","10","44","26","0","16","8"
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam","5","197","0","32761689","3","0","101","92","59","51","41","51","26","8"
"Efecto","Bad Bunny","1","4004","33","1047480053","34","6","98","80","23","48","14","0","6","5"
"Erro Gostoso - Ao Vivo","Simone Mendes","1","984","5","153454328","8","2","154","59","63","89","18","0","80","9"
"Cupido","Tini","1","1240","24","217672943","51","4","120","91","63","58","52","0","31","22"
"Just Wanna Rock","Lil Uzi Vert","1","3995","13","457184829","72","0","150","49","4","55","7","0","6","3"
"Unstoppable","Sia","1","7681","13","939844851","119","2","174","47","27","78","11","0","10","8"
"Until I Found You","Stephen Sanchez","1","4427","4","726434358","69","20","202","34","25","51","69","0","18","4"
"Rich Flex","Drake, 21 Savage","2","4657","18","573633020","84","0","153","56","42","52","5","0","36","24"
"Easy On Me","Adele","1","10195","20","1406111294","258","22","142","60","13","37","58","0","13","3"
"Cart��o B","MC Caverinha, KayBlack","2","269","4","71573339","7","1","108","84","55","47","26","0","20","64"
"Danger (Spider) (Offset & JID)","Offset, JID","2","214","0","24975653","3","0","143","83","25","69","4","0","23","12"
"Oi Balde - Ao Vivo","Z�� Neto & Crist","1","845","2","145458418","12","1","108","67","55","67","60","0","80","5"
"The Real Slim Shady","Eminem","1","20763","27","1424589568","81","1","104","95","78","66","3","0","4","6"
"MERCHO","Migrantes, LiL CaKe, Nico Valdi","3","1267","20","231332117","41","4","93","84","96","79","43","0","18","11"
"The Color Violet","Tory Lanez","1","2585","32","415932686","3","1","105","65","46","53","16","0","9","5"
"Glimpse of Us","Joji","1","6330","6","988515741","109","3","170","44","27","32","89","0","14","5"
"Mejor Que Yo","Mambo Kingz, DJ Luian, Anuel Aa","3","675","1","50847624","9","0","178","62","56","66","18","0","12","5"
"Curtains","Ed Sheeran","1","715","0","39893489","37","0","176","50","44","76","10","0","32","5"
"UNFORGIVEN (feat. Nile Rodgers)","Nile Rodgers, LE SSERAFIM","2","327","13","92035115","14","0","104","80","38","88","11","0","11","5"
"Haegeum","Agust D","1","244","12","118810253","6","2","85","70","83","84","31","0","47","30"
